step,op,left,right,value
295,S,294,294,15177100720513508366558296147058741458143803430094840009779249764931496244594782254
296,S,295,295,30354201441027016733116592294117482916287606860189680019558499529862992489189564508
297,S,296,296,60708402882054033466233184588234965832575213720379360039116999059725984978379129016
298,S,297,297,121416805764108066932466369176469931665150427440758720078233998119451969956758258032
299,S,298,298,242833611528216133864932738352939863330300854881517440156467996238903939913516516064
300,S,299,299,485667223056432267729865476705879726660601709763034880312935992477807879827033032128
301,S,300,300,971334446112864535459730953411759453321203419526069760625871984955615759654066064256
302,S,301,301,1942668892225729070919461906823518906642406839052139521251743969911231519308132128512
303,S,302,302,3885337784451458141838923813647037813284813678104279042503487939822463038616264257024
304,M,303,13,3885337784451458141838923813647037813284813678104279042503487939822463038616264258587
305,S,304,304,7770675568902916283677847627294075626569627356208558085006975879644926077232528517174
306,S,305,305,15541351137805832567355695254588151253139254712417116170013951759289852154465057034348
307,S,306,306,31082702275611665134711390509176302506278509424834232340027903518579704308930114068696
308,S,307,307,62165404551223330269422781018352605012557018849668464680055807037159408617860228137392
309,S,308,308,124330809102446660538845562036705210025114037699336929360111614074318817235720456274784
310,S,309,309,248661618204893321077691124073410420050228075398673858720223228148637634471440912549568
311,S,310,310,497323236409786642155382248146820840100456150797347717440446456297275268942881825099136
312,S,311,311,994646472819573284310764496293641680200912301594695434880892912594550537885763650198272
313,S,312,312,1989292945639146568621528992587283360401824603189390869761785825189101075771527300396544
314,M,313,9,1989292945639146568621528992587283360401824603189390869761785825189101075771527300396739
315,S,314,314,3978585891278293137243057985174566720803649206378781739523571650378202151543054600793478
316,S,315,315,7957171782556586274486115970349133441607298412757563479047143300756404303086109201586956
317,S,316,316,15914343565113172548972231940698266883214596825515126958094286601512808606172218403173912
318,S,317,317,31828687130226345097944463881396533766429193651030253916188573203025617212344436806347824
319,S,318,318,63657374260452690195888927762793067532858387302060507832377146406051234424688873612695648
320,S,319,319,127314748520905380391777855525586135065716774604121015664754292812102468849377747225391296
321,S,320,320,254629497041810760783555711051172270131433549208242031329508585624204937698755494450782592
322,S,321,321,509258994083621521567111422102344540262867098416484062659017171248409875397510988901565184
323,M,322,13,509258994083621521567111422102344540262867098416484062659017171248409875397510988901566747
324,S,323,323,1018517988167243043134222844204689080525734196832968125318034342496819750795021977803133494
325,S,324,324,2037035976334486086268445688409378161051468393665936250636068684993639501590043955606266988
326,S,325,325,4074071952668972172536891376818756322102936787331872501272137369987279003180087911212533976
327,S,326,326,8148143905337944345073782753637512644205873574663745002544274739974558006360175822425067952
328,S,327,327,16296287810675888690147565507275025288411747149327490005088549479949116012720351644850135904
329,S,328,328,32592575621351777380295131014550050576823494298654980010177098959898232025440703289700271808
330,S,329,329,65185151242703554760590262029100101153646988597309960020354197919796464050881406579400543616
331,S,330,330,130370302485407109521180524058200202307293977194619920040708395839592928101762813158801087232
332,M,331,15,130370302485407109521180524058200202307293977194619920040708395839592928101762813158801089179
333,S,332,332,260740604970814219042361048116400404614587954389239840081416791679185856203525626317602178358
334,S,333,333,521481209941628438084722096232800809229175908778479680162833583358371712407051252635204356716
335,S,334,334,1042962419883256876169444192465601618458351817556959360325667166716743424814102505270408713432
336,S,335,335,2085924839766513752338888384931203236916703635113918720651334333433486849628205010540817426864
337,S,336,336,4171849679533027504677776769862406473833407270227837441302668666866973699256410021081634853728
338,S,337,337,8343699359066055009355553539724812947666814540455674882605337333733947398512820042163269707456
339,M,338,16,8343699359066055009355553539724812947666814540455674882605337333733947398512820042163269709991
340,S,339,339,16687398718132110018711107079449625895333629080911349765210674667467894797025640084326539419982
341,S,340,340,33374797436264220037422214158899251790667258161822699530421349334935789594051280168653078839964
342,S,341,341,66749594872528440074844428317798503581334516323645399060842698669871579188102560337306157679928
343,S,342,342,133499189745056880149688856635597007162669032647290798121685397339743158376205120674612315359856
344,S,343,343,266998379490113760299377713271194014325338065294581596243370794679486316752410241349224630719712
345,S,344,344,533996758980227520598755426542388028650676130589163192486741589358972633504820482698449261439424
346,S,345,345,1067993517960455041197510853084776057301352261178326384973483178717945267009640965396898522878848
347,S,346,346,2135987035920910082395021706169552114602704522356652769946966357435890534019281930793797045757696
348,S,347,347,4271974071841820164790043412339104229205409044713305539893932714871781068038563861587594091515392
349,S,348,348,8543948143683640329580086824678208458410818089426611079787865429743562136077127723175188183030784
350,S,349,349,17087896287367280659160173649356416916821636178853222159575730859487124272154255446350376366061568
351,S,350,350,34175792574734561318320347298712833833643272357706444319151461718974248544308510892700752732123136
352,M,351,15,34175792574734561318320347298712833833643272357706444319151461718974248544308510892700752732125083
353,S,352,352,68351585149469122636640694597425667667286544715412888638302923437948497088617021785401505464250166
354,S,353,353,136703170298938245273281389194851335334573089430825777276605846875896994177234043570803010928500332
355,S,354,354,273406340597876490546562778389702670669146178861651554553211693751793988354468087141606021857000664
356,S,355,355,546812681195752981093125556779405341338292357723303109106423387503587976708936174283212043714001328
357,S,356,356,1093625362391505962186251113558810682676584715446606218212846775007175953417872348566424087428002656
358,S,357,357,2187250724783011924372502227117621365353169430893212436425693550014351906835744697132848174856005312
359,S,358,358,4374501449566023848745004454235242730706338861786424872851387100028703813671489394265696349712010624
360,M,359,16,4374501449566023848745004454235242730706338861786424872851387100028703813671489394265696349712013159
361,S,360,360,8749002899132047697490008908470485461412677723572849745702774200057407627342978788531392699424026318
362,S,361,361,17498005798264095394980017816940970922825355447145699491405548400114815254685957577062785398848052636
363,S,362,362,34996011596528190789960035633881941845650710894291398982811096800229630509371915154125570797696105272
364,M,363,2,34996011596528190789960035633881941845650710894291398982811096800229630509371915154125570797696105275
365,S,364,364,69992023193056381579920071267763883691301421788582797965622193600459261018743830308251141595392210550
366,S,365,365,139984046386112763159840142535527767382602843577165595931244387200918522037487660616502283190784421100
367,S,366,366,279968092772225526319680285071055534765205687154331191862488774401837044074975321233004566381568842200
368,S,367,367,559936185544451052639360570142111069530411374308662383724977548803674088149950642466009132763137684400
369,S,368,368,1119872371088902105278721140284222139060822748617324767449955097607348176299901284932018265526275368800
370,S,369,369,2239744742177804210557442280568444278121645497234649534899910195214696352599802569864036531052550737600
371,S,370,370,4479489484355608421114884561136888556243290994469299069799820390429392705199605139728073062105101475200
372,S,371,371,8958978968711216842229769122273777112486581988938598139599640780858785410399210279456146124210202950400
373,S,372,372,17917957937422433684459538244547554224973163977877196279199281561717570820798420558912292248420405900800
374,S,373,373,35835915874844867368919076489095108449946327955754392558398563123435141641596841117824584496840811801600
375,S,374,374,71671831749689734737838152978190216899892655911508785116797126246870283283193682235649168993681623603200
376,S,375,375,143343663499379469475676305956380433799785311823017570233594252493740566566387364471298337987363247206400
377,S,376,376,286687326998758938951352611912760867599570623646035140467188504987481133132774728942596675974726494412800
378,S,377,377,573374653997517877902705223825521735199141247292070280934377009974962266265549457885193351949452988825600
379,S,378,378,1146749307995035755805410447651043470398282494584140561868754019949924532531098915770386703898905977651200
380,S,379,379,2293498615990071511610820895302086940796564989168281123737508039899849065062197831540773407797811955302400
381,M,380,13,2293498615990071511610820895302086940796564989168281123737508039899849065062197831540773407797811955303963
